030b16d6-bf8e-432f-ba8e-eb01faa3480d,55
11314af8-aad0-4414-a961-e91b88fd4abb,1
25e3e8f1-86ee-440c-adfc-8e63759a6505,4
44c5565c-b772-404e-9231-fc78d77dfbb4,102
4e934fdd-4774-4a2e-b695-fc675ba82f5e,2
4eab8cf3-bc11-412b-a91a-20d27346fc6f,25
50c9509d-22c7-4a22-a47d-8c48425ef4a7,37
52422715-c1db-40a0-ba16-b84a295d248a,117
56a946bf-bd42-4a54-8543-4380d92f9762,2
594e1181-c38a-4f44-b78c-ceab50351cca,2
66f39e15-e74d-491c-b5d2-397cd6bad884,1
686c1b9b-5f29-4e1f-8c28-f9779d264579,2
6f6b1102-5baa-4e24-86be-073a90b14db0,62
76f6e844-16a8-4460-9eec-86437f99387c,6
7f5e4129-0717-428e-876a-464fbd5d9a47,84
83072c26-af4e-44a7-b373-0567f623081d,46
8a863029-f435-446a-821e-275f4f641165,276
8e9974a4-12e2-475f-9aec-5abdf24a1f50,1
97d01261-0027-4e89-a0d2-4a7d700f5fdb,26
a899709f-9a73-4cac-84d8-a7dcc7b70280,4
b66c629e-b878-4b26-960d-7c0103b025c7,2
c45c8530-fd7d-4f30-a9e4-c6d243a4b404,1
c6951371-fbed-41b6-a1dc-dbbd1d2723d9,70
cd7553aa-08aa-463e-bae3-aedd989b370a,1
e3004062-f320-4d91-8192-3ec889e468dc,6
ea2bff98-2f5f-484c-8aa3-c8eb61834696,4
efde0b80-02d6-4e50-9e6a-4b4329bfeec6,1
f24cb6bb-8333-4ce1-9fdf-71bd3bec0ff6,6
f70fe54c-7fad-4008-9823-cf5b8fc6284e,1
fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2,24
